"","x"
"1996350314",0
"1996387846",0
"1996507603",0
"1996531989",84
"1996577667",28
"1996596464",80.25
"1996633793",0
"1996675432",177.5
"1996764663",0
"1996770352",7
"1996775599",0
"1996798299",0
"1996834959",0
"1996947059",0
"1996963184",13
"1997045063",0
"1997168891",76
"1997175872",8
"1997328056",60.2833333333333
"1997333089",26
"1997383766",24.3333333333333
"1997391077",0
"1997449937",0
"1997488520",0
"1997527287",32
"1997741525",36
"1997754250",45
"1997778558",0
"1997830184",28
"1997830480",10
"1997861561",0
"1997885529",0
"1997931221",0
"1997951305",0
"1998135860",0
"1998241949",0
"1998334300",39
"1998386201",44.7666666666667
"1998444568",0
"1998592294",17.6666666666667
"1998636934",0
"1998642545",0
"1998752042",146.5
"1998799683",0
"1998805061",0
"1998815305",0
"1998851950",0
"1998913070",0
"1998927897",0
"1998967109",0
"1999041721",0
"1999062972",0
"1999086738",0
"1999126347",604.5
"1999334096",137.1
"1999334980",0
"1999349744",0
"1999356691",0
"1999424610",0
"1999429836",0
"1999550303",0
"1999646319",87
"1999673201",159.833333333333
"1999746230",0
"1999782141",0
"1999824351",19
"1999925267",0
"1999945262",0
"1999975077",27
"1990653740",0
"1986613914",0
"2000014459",0
"2000109161",0
"2000124990",0
"2000142883",0
"2000173819",0
"2000184633",291
"2000233888",2
"2000279794",8
"2000367186",0
"2000374050",13
"2000375166",6.5
"2000423419",0
"2000488160",461.5
"2000494454",0
"2000526328",100
"2000545227",0
"2000564408",29.5
"2000574885",24
"2000705807",10.5
"2000713729",0
"2000860929",172
"2000889893",42
"2000906609",0
"2000961858",10
"2000970700",0
"2001048145",0
"2001059655",11
"2001182897",0
"2001265221",0
"2001281158",36
"2001335422",0
"2001470544",44
"2001472284",5
"2001565863",177.833333333333
"2001576130",217
"2001590979",0
"2001651303",0
"2001670856",18
"2001689366",0
"2001697479",0
"2001740862",0
"2001829968",8.5
"2001830652",0
"2001870495",0
"2001917696",33
"2001935432",0
"2001964179",20.5
"2002104278",147.333333333333
"2002105278",0
"2002123250",96
"2002147083",0
"2002205743",0
"2002350524",0
"2002373371",0
"2002464396",1
"2002743102",0
"2002769183",0
"2002789811",136.5
"2002806005",0
"2002845208",0
"2002859300",70.5
"2002886143",24.0833333333333
"2002923349",0
"2002925563",26
"2002979591",0
"2002984713",19
"2003050170",0
"2003057664",0
"2003113780",0
"2003118168",0
"2003147081",0
"2003176181",0
"2003188345",4
"2003243224",0
"2003267164",0
"2003292635",48.5
"2003334993",0
"2003335539",7.33333333333333
"2003378743",17.5
"2003390573",29
"2003451183",0
"2003453203",0
"2003461835",0
"2003464969",0
"2003484990",0
"2003486614",27
"2003612343",0
"2003648194",0
"2003865218",20
"2003907251",30
"2003922301",0
"2004009863",0
"2004020960",81.75
"2004022026",10
"2004180787",0
"2004226906",0
"2004237875",0
"2004294122",0
"2004350153",0
"2004392437",24
"2004539733",0
"2004546419",0
"2004586011",166.166666666667
"2004665841",27
"2004684945",0
"2004702486",11
"2004801832",1
"2004825815",0
"2004871870",235
"2004877333",112
"2004954930",6
"2005096012",0
"2005106107",0
"2005116293",24
"2005129007",0
"2005296107",50.5
"2005361516",0
"2005361883",0
"2005418748",212
"2005492836",137
"2005501964",24
"2005539942",0
"2005552486",67.5
"2005624859",0
"2005634958",6.5
"2005685712",0
"2005689851",0
"2005690024",235.833333333333
"2005731601",0
"2005734225",12.5
"2005768551",0
"2005819977",36
"2005822501",18
"2005868182",124
"2005878723",30
"2005901530",0
"2005961091",112.5
"2005961701",0
"2006004162",0
"2006024959",0
"2006052557",0
"2006073087",0
"2006152969",0
"2006227270",0
"2006252838",119.916666666667
"2006266634",0
"2006304808",135
"2006356865",0
"2006463645",0
"2006611575",0
"2006671292",47.5
"2006676870",135
"2006721290",0
"2006792461",22
"2006814538",56.3333333333333
"2006829201",308
"2006881756",0
"2006924244",168.616666666667
"2006941944",0
"2007045261",0
"2007144500",0
"2007170790",0
"2007212231",0
"2007250331",0
"2007287117",0
"2007307031",0
"2007341665",0
"2007369905",0
"2007408863",0
"2007527058",0
"2007588132",10
"2007627285",11.5
"2007704398",0
"2007717387",0
"2007735705",0
"2007757496",0
"2007884513",0
"2007914712",0
"2007921299",0
"2007944121",0
"2007967282",0
"2007999122",0
"2008072817",0
"2008090884",0
"2008107235",59
"2008141180",0
"2008216242",0
"2008232587",0
"2008235326",0
"2008245623",0
"2008273870",0
"2008422012",0
"2008444027",12
"2008535916",0
"2008607241",90
"2008647784",0
"2008732477",0
"2008771257",48
"2008915902",69
"2008922456",43
"2008939719",101
"2009023610",0
"2009073259",169.183333333333
"2009111457",0
"2009126822",0
"2009287696",0
"2009366251",13
"2009452011",31.5
"2009542271",0
"2009575169",0
"2009625228",0
"2009682352",0
"2009728897",0
"2009810445",0
"2009838184",0
"2009841315",16
"2009987777",0
"2009988093",0
"2010020982",29
"2010060948",4
"2010103367",0
"2010118338",0
"2010154592",6
"2010177451",0
"2010194706",0
"2010266346",20
"2010288268",0
"2010324443",0
"2010332406",30
"2010370010",0
"2010406638",0
"2010498846",0
"2010544388",0
"2010624233",0
"2010704869",0
"2010765490",0
"2010868592",17
"2010913661",0
"2010920895",0
"2010928391",0
"2010931541",8
"2010936668",0
"2010937652",23
"2010954356",165.666666666667
"2010988308",0
"2011016717",17.5
"2011041260",40.5
"2011058239",96.75
"2011285823",0
"2011289212",5
"2011327135",1699.09523809524
"2011342293",0
"2011344911",161
"2011404825",0
"2011411395",20
"2011479088",0
"2011505304",0
"2011508478",0
"2011630058",13
"2011630261",23.8333333333333
"2011721715",0
"2011725600",9
"2011815544",45.5
"2011847587",0
"2011869541",0
"2011903580",0
"2011911241",0
"2011921003",0
"2011923546",45
"2011929429",0
"2011931160",50
"2011967532",22
"2011976012",0
"2012033372",35
"2012064098",36
"2012093028",0
"2012158346",0
"2012231141",65.75
"2012256292",8
"2012283616",0
"2012410094",0
"2012527397",0
"2012552975",0
"2012564992",0
"2012611493",0
"2012620142",0
"2012671586",0
"2012674455",64
"2012686187",0
"2012759654",0
"2012760489",119.683333333333
"2012765116",0
"2012812108",0
"2012914116",24
"2012942058",0
"2012990369",0
"2012996999",82
"2013066341",183.266666666667
"2013109087",0
"2013418965",0
"2013475848",0
"2013488403",0
"2013495975",19
"2013558814",68
"2013589684",109
"2013615646",8
"2013674168",10
"2013684786",0
"2013692311",150.5
"2013854328",0
"2013869604",0
"2013872720",57
"2013876803",0
"2013921858",27
"2013978178",47
"2013991535",0
"2014061207",0
"2014124897",0
"2014142340",0
"2014158866",0
"2014175841",27
"2014214339",35
"2014214892",45.5
"2014277993",0
"2014401533",52
"2014407695",0
"2014410237",0
"2014454998",0
"2014573407",30.4545454545455
"2014641193",0
"2014705308",0
"2014706086",0
"2014767963",20.3333333333333
"2014888960",0
"2014908235",0
"2015019993",0
"2015020494",0
"2015033713",15
"2015140178",0
"2015143081",336
"2015152826",0
"2015292887",15.3333333333333
"2015314905",25.5
"2015400669",0
"2015443057",0
"2015452127",0
"2015497566",0
"2015506381",0
"2015516365",0
"2015541566",86
"2015660012",0
"2015691190",0
"2015771811",0
"2015800007",48
"2015807169",0
"2015843059",0
"2015909866",52
"2015914089",0
"2015925355",0
"2015971955",0
"2016054150",0
"2016056566",0
"2016089213",42.5
"2016098311",0
"2016184291",0
"2016186161",54.5333333333333
"2016222375",0
"2016226405",0
"2016258057",7
"2016259929",0
"2016332269",13
"2016374515",0
"2016420833",0
"2016455017",0
"2016525209",0
"2016563783",17
"2016574769",0
"2016587473",0
"2016599130",6
"2016622637",165
"2016674110",0
"2016727485",0
"2016747444",0
"2016843610",10
"2016848152",0
"2016852698",366
"2016897579",0
"2016915536",22
"2016921930",0
"2016958224",0
"2016972000",0
"2017065517",0
"2017078761",0
"2017090935",2
"2017094884",0
"2017134556",0
"2017136046",0
"2017143806",0
"2017147547",87.5
"2017155271",200
"2017206151",592.05
"2017207329",0
"2017331646",7
"2017405810",108.25
"2017408678",0
"2017419283",0
"2017590678",0
"2017607437",30
"2017671889",223.5
"2017695766",127
"2017714214",0
"2017740210",0
"2017837798",0
"2017903250",17.5
"2017933081",74.5833333333333
"2018163264",0
"2018300190",50
"2018327619",62
"2018447683",8
"2018481847",0
"2018528948",10
"2018646465",397
"2018863672",0
"2018902427",127
"2018956978",0
"2018959813",0
"2019006353",0
"2019014808",122.25
"2019066938",56
"2019218140",0
"2019219692",3
"2019269426",0
"2019271078",16
"2019298987",0
"2019301455",0
"2019308941",24
"2019310766",0
"2019339419",48
"2019461538",14
"2019532880",142.8
"2019562036",0
"2019653123",0
"2019676475",13
"2019788814",48.5833333333333
"2019799319",0
"2019804975",0
"2019849808",0
"2019969759",0
"2019987965",15
"2020227869",0
"2020406195",0
"2020408022",28
"2020518238",0
"2020524218",12
"2020573657",0
"2020576307",19
"2020712825",0
"2020808210",0
"2020813215",0
"2020873378",15
"2020880399",425.5
"2020959717",33
"2020967554",110
"2020980652",15
"2021005007",34.5
"2021056764",47
"2021073940",0
"2021076422",0
"2021132597",0
"2021144372",0
"2021219050",5
"2021251932",0
"2021265203",15
"2021270867",0
"2021278996",39
"2021312756",20.0666666666667
"2021361937",0
"2021398366",19.5
"2021413461",0
"2021507617",16
"2021512179",106
"2021537193",0
