"","x"
"2162153024",0
"2281626384",0
"2940205873",0
"2901535483",0
"2149832105",3056
"3004734489",0
"2780852488",0
"2767461842",0
"1701536281",0
"2144229065",0
"2117320897",0
"2996910462",0
"2040536889",0
"2462300868",0
"2133371225",3
"2421153114",0
"2999329576",0
"2136140329",0
"2296795099",0
"2310290126",0
"2737237284",8685.33333333333
"2056884562",0
"1917896816",0
"2489391096",0
"2720947417",0
"2694198651",0
"2239818905",0
"2985511177",0
"2158082241",0
"2306257781",11
"2168129606",128934.216117212
"2999967299",0
"2672243576",0
"2304404641",0
"2043130285",0
"2105107478",9
"2945339168",0
"313062202",0
"1513745563",0
"2745276437",0
"2090845954",3480
"2294700467",0
"2066619962",26
"2008816757",0.5
"1980954773",94.4000000000003
"2918457449",0
"2940974881",4.5
"2645822616",0.666666666666667
"2119004067",0
"2716164282",3
"2150191547",0
"2762489192",0
"2038752609",0
"2326904258",0
"2120972806",0
"2296433447",260860.726648841
"2112949082",0
"2108303192",0
"1244974601",1
"2536767132",0
"2100674100",0
"2766874562",0
"2646530528",0
"2998308139",0
"2009266289",0
"2792720064",0
"2584707202",0
"2704018656",0
"2235489826",0
"2997825066",0
"2148358297",0
"2987157978",0
"2120394816",79020.913719124
"2807184513",1
"2099208187",0
"2612268130",0
"2486748874",0
"2515421017",0
"2253496617",0
"2643840401",0
"2296103144",0
"2974154313",0
"2896833072",0
"2320703280",0
"2107507490",2
"2709856667",0
"303170550",19073
"3004932728",0
"2957948338",0
"2034871625",1.33333333333333
"2071344740",341
"2999030052",0
"247853890",0
"2168298283",0
"2700928659",0
"2222627537",0
"1982846354",6
"2170360384",0
"2422827337",0
"2115970360",0
"2143366800",0
"2306034325",6
"2169133009",53
"2158227529",22525
"2763781558",0
"2516959780",0.25
"2618119973",0
"2690676148",0
"2901750237",0
"3008036280",0
"2132580745",0
"1986182307",0
"2255256744",0
"2162532364",0
"2102234898",0.25
"2664725190",10416.3333333333
"92014956",40
"2659113337",0
"2495674925",0
"2157739414",0
"2974076785",0
"2141125284",0
"2956073210",0
"2156867715",0
"2894976852",0
"1505659925",0
"2306806755",25.3333333333333
"1986082021",0
"2159860960",0
"1970964601",13889
"1237470264",0
"2887285769",0
"2077013292",0
"2973465968",0
"1998512024",0
"2655298651",0
"2096364092",9
"2127436186",0
"3007688561",0
"2017416002",0
"2233499856",0
"2151553307",26
"2800790331",0
"2583553233",81694.218767507
"2171627464",0
