
18 {2099888142~2098116627~1918427156~2102912534~1988328990~2304763422~2469111333~2112605232~2223247411~2096862781~2060109373~1967537216~2157004865~2131496007~2008485966~1266997330~2095937625~1246506075~2095834727~2226005607~2139111540~2131517558~2160564353~2305161885~1510370974~2251047074~1620943014~2301164714~2681667249~2772407477~2153105600~2124853440~1287450821~66820806~2604888774~2108885708~2250254044~2767749876~2974091509~335414518~1996732661~1484846328~56443641~2706299130~2266639099~290274558~2012641024~2097724689~2077166881~2279736615~2404761383~1908789546~1989800237~2058251574~414350144~2129435983~2100098901~2129292631~2155868506~2105682791~28193131~2114004335~1879637872~2106994032~2100116847~67480443~113008519~2512057741~2598964116~2155791777~2103829928~2169669566~2797279167~2165390784~2109098434~2060039618~2107897798~114916818~2320687058~242742739~2090936787~2578849750~1982327768~2120655840~2633615845~1980421613~2167617533} 87
19 {2898465046~2396159851~2114966934~2164604087} 4
20 {2969923077~2753558535~2781456904~2152596491~2007304721~2765106710~2150527511~2775989273~2805111322~2391042075~1961022492~2298299938~2945081382~2441435174~2152577076~2945687095~2991517762~2911213635~2100629573~2752903244~2750670413~2980646991~2274483280~2622366800~2344412246~2940602970~2005728876~2311156855~2937346172~2968703994~2982544519~2799190665~2636682381~2133602961~2327168150~2767478940~2781259942~1981034670~2170165422~2162969788~2462279364~2031793861~2921668299~2904443096~2111134424~2597902046~2963621088~2984659684~2782275303~2467582702~2104995575~2170486521~2984994055~2573176074~2658491662~2032555279~2950405390~1885380884~2129879323~2644323612~2936216365~2621597999~1996431663~1482611513~2614428991~2906684740~2691236168~2980845385~2226894673~2414779228~2679166308~2601526120~2980869482~2061101942~2987992438~2299033983~2129056645~2308415883~2038601627~1990863773~2171544993~2105107880~2989712299~2624154035~2889852865~2100295637~2940877783~2128048611~2912108525~2225198574~2987003377~2485990391~2752068602~2748871678~2777710079} 95
21 {2092411937~258834860~2145653005~1970886097~1723882514~1971876915~306431511} 7
22 {175255044~2153960200~2589563659~2590934160~691928724~163176088~1970342683~2096646689~2135711272~270967595~2157522220~2203793967~2460161456~2228118575~2920079408~2092632499~1976110271~1944224191~2106183752~2763165514~2508732373~2207800025~2136716127~2022325346~2165524834~1977330787~2116410742~2298967927~2100588671} 29
23 {2125064448~2085503562~2281648074~2132435563~2075166253~2342293968~2169133009~2073463506~2119417651~2887491541~2914482710~1892962843~2123837439} 13
24 {2606875650~2557894793~146308115~2225877916~1895620128~2566203949~2326119469~2194427956~2011560373~2687971386~2268785856~2426658625~2120836034~2422827337~2103567690~2967859411~2441689044~2414568920~2194470369~2107487971~2130840293~2491818602~2185869296~2170197494} 24
25 {2713232940~1972492785~2112604340~2127219702~2155788667~2704415356} 6
26 {2809200576~2885092928~2887556164~2153180282~2114868839~2886037320~1995762524~2807676298~2132453286~2208934925~2099747503~2105451568~2162041713~2190388369~2433016722~2585585268~2169743412~2765612919~2660581146~2245267964} 20
27 {2006188770~2138570949~1983094374~2161448407} 4
28 {2576847494~2163928714~2739782798~2171310226~2868635032~2163560991~2058895776~2321956385~2034085542~2284197286~2595695404~2207926141~2129110191~2135591858~2112034102~2156373944~2197065657~2991193019~2578085563~2153773055~2674707781~2138877898~2403970763~2716001232~2322817360~2662743634~2482227283~2530960729~2279245401~2105350755~2282946403~2162010601~1818914027~2915371629~1974375279~2427384688~2608341104~2122588659~2582898035~2594060279~2115938681~2612774394~2138286461~2135883006~2617633279} 45
29 {2168200548~2159848645~2042301190~1979796846~2494619697~1984723189~389943480} 7
30 {2658108800~2603090433~2165126787~2136197381~2423987850~2101867916~2160270989~2121958414~2667020052~2239818905~2641780890~2702857502~2637109919~2304404641~2701697190~2398756519~2790179500~2685828925~2263778494~2127723851~2893500877~2126101459~2558682966~2585119703~2973393366~2107256411~2138109532~2636217180~2663891038~2841074785~2780499813~2000470888~2113387240~2140659949~2634234738~2131516530~2665324530} 37
